	9.56	-6.91	0.00	0.00	1	13	17	17	17	17	17	17	17	17	538992840	6
I,9.56,-6.91,0,44,6,33,44,25,3,40,46,40,3,44,8,39,27,19,23
I,9.63,-6.89,0,16,33,10,22,48,34,47,38,29,14,20,11,21,34,0,34
I,9.63,-6.89,0,23,48,29,39,30,15,29,35,13,10,13,42,9,31,6,38
I,9.63,-6.89,0,47,3,42,36,18,40,28,5,19,5,35,21,46,3,45,47
I,9.63,-6.89,0,19,28,27,44,32,8,8,24,36,19,48,8,36,13,25,5
I,9.63,-6.89,0,39,44,47,1,12,27,10,24,20,24,48,47,40,42,28,35
I,9.67,-6.87,0,1,48,12,17,8,19,45,15,45,0,35,49,47,19,34,10
I,9.67,-6.87,0,35,24,45,24,34,30,19,10,1,13,28,28,16,18,5,20
I,9.67,-6.87,0,25,6,0,12,6,9,41,41,4,31,32,31,11,35,27,32
I,9.67,-6.87,0,25,26,22,33,47,43,22,24,22,32,15,2,47,40,18,8
I,9.67,-6.87,0,5,20,12,28,10,7,47,29,12,46,34,30,37,28,39,9
I,9.72,-6.89,0,15,48,20,43,26,29,0,29,27,10,2,11,44,18,43,43
I,9.72,-6.89,0,40,22,34,43,35,24,39,14,49,29,34,35,42,18,12,41
I,9.72,-6.89,0,3,1,40,32,30,2,9,37,20,14,28,38,7,33,1,10
I,9.72,-6.89,0,45,5,1,45,46,37,32,18,37,45,16,2,22,42,12,5
I,9.72,-6.89,0,2,34,19,36,2,11,33,23,46,7,9,24,4,17,34,7
I,9.60,-7.00,0,40,26,39,7,37,2,38,12,29,39,42,30,41,9,6,25
I,9.60,-7.00,0,25,8,0,23,2,4,3,13,16,36,0,46,19,22,28,11
I,9.60,-7.00,0,14,47,5,48,27,44,37,35,20,1,19,43,21,34,8,36
I,9.60,-7.00,0,34,49,36,30,1,17,9,19,39,20,25,26,18,29,35,24
I,9.60,-7.00,0,46,0,16,29,26,18,8,25,38,33,20,17,16,22,16,35
I,9.68,-6.88,0,42,4,21,9,44,40,2,48,39,28,34,9,14,5,34,3
I,9.68,-6.88,0,3,36,48,27,41,5,15,20,33,18,18,1,37,18,31,27
I,9.68,-6.88,0,43,2,24,32,25,36,49,20,47,33,33,23,16,48,12,12
