	10.26	-9.59	0.00	0.00	38	33	5	5	5	5	5	5	5	5	538992904	6
I,10.14,-9.68,0,28,21,45,17,17,19,33,35,44,5,10,0,27,23,8,36
I,10.14,-9.68,0,30,44,34,33,24,36,42,16,37,48,23,11,14,39,30,22
I,10.14,-9.68,0,14,38,26,10,48,38,6,29,38,38,20,49,42,19,28,36
I,10.14,-9.68,0,33,27,41,26,44,48,1,34,29,13,49,24,26,30,9,32
I,10.14,-9.68,0,2,42,33,48,45,16,31,3,40,26,44,49,17,38,43,25
I,10.20,-9.65,0,28,32,47,20,47,36,19,22,27,27,7,14,30,5,32,33
I,10.20,-9.65,0,26,2,2,0,2,21,37,23,18,48,14,15,42,18,2,35
I,10.20,-9.65,0,31,21,24,44,35,21,35,7,8,45,30,46,47,13,23,37
I,10.20,-9.65,0,3,7,16,2,41,18,4,46,34,6,44,45,46,20,15,26
I,10.20,-9.65,0,33,8,8,31,20,48,41,16,23,34,47,44,9,42,45,17
I,10.29,-9.70,0,47,11,8,23,39,27,12,23,24,37,40,42,47,43,23,35
I,10.29,-9.70,0,19,27,33,44,29,34,2,30,26,21,31,9,41,24,33,13
I,10.29,-9.70,0,26,13,0,27,47,27,49,36,1,35,17,3,27,28,28,12
I,10.29,-9.70,0,36,45,36,48,46,37,35,23,47,47,39,10,45,18,42,46
I,10.29,-9.70,0,32,46,31,47,34,27,46,20,0,40,3,31,32,14,44,15
I,10.25,-9.70,0,18,36,6,15,40,30,48,3,42,47,1,13,17,4,32,34
I,10.25,-9.70,0,22,46,11,43,7,46,22,23,11,18,39,11,38,8,24,26
I,10.25,-9.70,0,46,9,38,11,37,1,37,5,15,16,23,39,49,46,47,10
I,10.25,-9.70,0,9,17,9,44,0,28,7,35,35,33,35,26,32,48,29,41
I,10.25,-9.70,0,0,13,12,18,7,29,25,39,32,44,21,44,0,33,48,44
I,10.14,-9.70,0,11,5,40,31,36,22,22,27,32,33,1,35,36,26,13,32
I,10.14,-9.70,0,20,31,28,10,39,48,35,23,12,19,14,25,27,7,2,45
I,10.14,-9.70,0,35,3,40,13,44,40,23,16,42,32,40,42,46,21,21,46
I,10.14,-9.70,0,16,20,6,26,28,46,28,35,29,40,39,26,17,44,16,37
I,10.14,-9.70,0,42,47,26,47,21,12,34,32,18,45,36,15,4,49,42,23
I,10.14,-9.71,0,12,4,49,4,13,15,3,19,1,42,44,26,24,29,19,9
I,10.14,-9.71,0,46,7,28,21,41,22,7,24,21,1,24,49,45,9,22,38
I,10.14,-9.71,0,16,28,20,7,14,41,45,48,9,14,14,37,7,25,2,0
I,10.14,-9.71,0,5,10,12,10,39,2,16,36,30,19,46,28,34,3,38,22
I,10.14,-9.71,0,35,43,48,9,49,7,28,4,49,45,24,4,22,14,24,17
I,10.22,-9.74,0,24,7,37,32,22,35,13,1,25,48,1,30,14,38,36,31
I,10.22,-9.74,0,34,8,34,7,13,0,8,39,44,46,34,42,16,7,5,33
I,10.22,-9.74,0,45,13,3,41,24,33,5,2,49,20,37,26,7,30,40,34
I,10.22,-9.74,0,21,24,18,9,14,25,3,15,2,7,41,37,23,26,21,40
I,10.22,-9.74,0,9,31,5,39,20,4,48,46,22,28,19,14,4,28,22,10
I,10.28,-9.71,0,27,22,16,7,16,43,6,30,20,3,36,44,16,40,7,41
I,10.28,-9.71,0,33,17,35,18,38,31,21,35,38,14,28,24,15,18,3,10
I,10.28,-9.71,0,11,42,42,43,8,9,39,9,40,42,29,27,12,25,23,47
I,10.28,-9.71,0,13,23,46,19,45,47,48,46,41,1,37,36,4,15,40,25
I,10.28,-9.71,0,6,14,22,40,37,25,22,44,6,10,39,37,1,15,0,15
I,10.26,-9.74,0,12,22,21,35,42,6,39,49,5,11,4,9,12,6,30,26
I,10.26,-9.74,0,18,33,38,33,33,15,4,45,21,25,41,12,11,14,8,32
I,10.26,-9.74,0,1,20,9,37,27,23,23,18,43,39,18,41,30,20,36,17
I,10.26,-9.74,0,15,14,7,49,47,28,10,46,16,48,19,19,49,44,20,16
I,10.26,-9.74,0,23,8,32,37,12,2,5,32,28,31,10,40,3,16,4,44
I,10.26,-9.65,0,48,30,23,33,7,18,40,39,29,18,34,43,18,44,45,38
I,10.26,-9.65,0,5,39,27,34,21,22,16,18,2,21,40,35,12,6,37,49
I,10.26,-9.65,0,4,11,6,20,7,29,27,38,10,41,16,0,24,26,35,9
I,10.26,-9.65,0,18,7,13,7,43,28,21,28,21,49,11,48,30,11,23,1
I,10.26,-9.6
